RecordWritten,Cluster_ID
17,1
17,2
17,2
17,2
17,4
17,4
17,2
17,1
17,3
17,2
17,4
17,3
17,4
17,2
17,3
17,2
17,3
17,4
17,3
17,4
17,4
17,3
17,2
17,2
17,2
17,3
17,3
17,3
17,2
17,2
17,6
17,2
17,2
17,4
17,2
17,4
17,2
17,2
17,2
17,4
17,2
17,2
17,2
17,4
17,4
17,2
17,3
17,2
17,4
17,2
17,1
17,2
17,4
17,2
17,7
17,3
17,2
17,4
17,4
17,3
17,4
17,2
17,1
17,2
17,4
17,4
17,2
17,2
17,1
17,3
17,2
17,4
17,4
17,4
17,1
17,4
17,2
17,3
17,1
17,1
17,2
17,1
17,4
17,4
17,2
17,2
17,2
17,2
17,1
17,3
17,2
17,4
17,2
17,1
17,3
17,1
17,3
17,2
17,2
17,2
17,2
17,2
17,4
17,2
17,3
17,2
17,1
17,1
17,1
17,4
17,1
17,2
17,2
17,2
17,2
17,2
17,2
17,4
17,2
17,3
17,3
17,2
17,1
17,2
17,2
17,2
17,2
17,2
17,2
17,2
17,2
17,4
17,3
17,2
17,2
17,2
17,2
17,3
17,2
17,2
17,2
17,3
17,2
17,1
17,3
17,2
17,3
17,1
17,1
17,3
17,6
17,1
17,4
17,3
17,1
17,2
17,2
17,2
17,2
17,4
17,4
17,4
17,2
17,2
17,3
17,4
17,1
17,2
17,3
17,2
17,2
17,2
17,2
17,3
17,2
17,3
17,3
17,4
17,3
17,6
17,3
17,3
17,3
17,3
17,2
17,3
17,3
17,1
17,3
17,2
17,2
17,4
17,1
17,4
17,2
17,1
17,3
17,1
17,3
17,3
17,7
17,2
17,4
17,4
17,2
17,2
17,3
17,2
17,3
17,4
17,2
17,3
17,3
17,3
17,3
17,2
17,2
17,3
17,3
17,4
17,3
17,2
17,3
17,2
17,3
17,2
17,2
17,2
17,2
17,2
17,1
17,4
17,3
17,3
17,5
17,4
17,2
17,1
17,3
17,2
17,2
17,3
17,2
17,2
17,1
17,3
17,3
17,2
17,2
17,3
17,1
17,4
17,3
17,3
17,2
17,2
17,4
17,2
17,2
17,4
17,3
17,4
17,1
17,2
17,3
17,4
17,3
17,6
17,1
17,2
17,2
17,2
17,2
17,4
17,4
17,4
17,2
17,3
17,2
17,1
17,3
17,2
17,3
17,2
17,4
17,6
17,2
17,2
17,2
17,2
17,1
17,2
17,6
17,4
17,2
17,3
17,4
17,4
17,2
17,1
17,4
17,3
17,3
17,2
17,2
17,2
17,1
17,2
17,3
17,2
17,6
17,3
17,2
17,3
17,3
17,1
17,2
17,2
17,2
17,2
17,3
17,2
17,4
17,3
17,3
17,2
17,2
17,4
17,3
17,4
17,1
17,1
17,2
17,3
17,3
17,2
17,2
17,3
17,2
17,3
17,3
17,2
17,2
17,1
17,4
17,4
17,2
17,1
17,3
17,1
17,4
17,2
17,2
17,3
17,2
17,3
17,2
17,3
17,1
17,6
17,3
17,2
17,3
17,6
17,2
17,2
17,6
17,3
17,2
17,2
17,3
17,2
17,4
17,2
17,2
17,3
17,2
17,2
17,3
17,1
17,4
17,3
17,4
17,2
17,2
17,3
17,3
17,1
17,4
17,2
17,4
17,2
17,3
17,3
17,2
17,3
17,2
17,2
17,4
17,3
17,4
17,2
17,3
17,1
17,2
17,3
17,2
17,3
17,2
17,2
17,2
17,2
17,2
17,3
17,2
17,3
17,2
17,2
17,2
17,1
17,2
17,1
17,2
17,2
17,2
17,2
17,1
17,1
17,2
17,2
17,7
17,2
17,2
17,4
17,2
17,1
17,3
17,2
17,2
17,2
17,3
17,2
17,2
17,1
17,3
17,4
17,4
17,2
17,7
17,2
17,4
17,7
17,2
17,1
17,4
17,3
17,4
17,4
17,1
17,1
17,3
17,7
17,4
17,2
17,1
17,2
17,2
17,3
17,3
17,2
17,3
17,4
17,2
17,2
17,2
17,3
17,3
17,3
17,3
17,2
17,1
17,4
17,2
17,2
17,2
17,2
17,1
17,4
17,4
17,3
17,4
17,2
17,2
17,6
17,2
17,2
17,4
17,6
17,2
17,4
17,2
17,2
17,4
17,4
17,2
17,2
17,2
17,4
17,2
17,2
17,4
17,2
17,4
17,6
17,2
17,2
17,2
17,4
17,2
17,2
17,2
17,2
17,1
17,3
17,3
17,3
17,2
17,6
17,2
17,6
17,3
17,2
17,4
17,2
17,3
17,6
17,4
17,2
17,6
17,2
17,3
17,2
17,2
17,4
17,2
17,2
17,2
17,2
17,3
17,2
17,1
17,1
17,3
17,2
17,1
17,2
17,2
17,4
17,3
17,2
17,3
17,2
17,2
17,4
17,2
17,3
17,3
17,2
17,1
17,7
17,4
17,1
17,2
17,1
17,2
17,4
17,3
17,3
17,2
17,2
17,3
17,1
17,2
17,4
17,2
17,3
17,2
17,4
17,3
17,2
17,1
17,2
17,2
17,3
17,1
17,2
17,3
17,3
17,2
17,2
17,3
17,4
17,4
17,1
17,4
17,3
17,2
17,3
17,2
17,2
17,3
17,3
17,2
17,3
17,2
17,3
17,2
17,3
17,6
17,3
17,1
17,1
17,3
17,1
17,2
17,2
17,3
17,2
17,1
17,2
17,2
17,2
17,4
17,1
17,2
17,2
17,3
17,1
17,3
17,3
17,3
17,2
17,3
17,1
17,2
17,3
17,1
17,3
17,2
17,3
17,1
17,3
17,2
17,2
17,3
17,3
17,1
17,1
17,1
17,1
17,1
17,2
17,3
17,2
17,2
17,2
17,3
17,2
17,2
17,3
17,2
17,1
17,3
17,1
17,1
17,3
17,1
17,2
17,1
17,2
17,2
17,4
17,4
17,3
17,2
17,2
17,3
17,3
17,1
17,3
17,4
17,2
17,2
17,1
17,4
17,3
17,2
17,3
18,2
18,2
18,2
18,2
18,3
18,3
18,2
18,2
18,1
18,3
18,4
18,3
18,1
18,2
18,2
18,4
18,1
18,2
18,2
18,2
18,2
18,2
18,3
18,1
18,3
18,1
18,4
18,2
18,3
18,3
18,2
18,1
18,2
18,4
18,1
18,2
18,3
18,3
18,3
18,3
18,3
18,1
18,1
18,4
18,3
18,3
18,4
18,4
18,2
18,2
18,3
18,2
18,2
18,3
18,4
18,3
18,2
18,1
18,2
18,2
18,2
18,2
18,6
18,3
18,1
18,3
18,2
18,2
18,1
18,3
18,3
18,6
18,2
18,1
18,2
18,3
18,2
18,2
18,4
18,2
18,2
18,2
18,1
18,1
18,1
18,1
18,1
18,2
18,2
18,2
18,1
18,3
18,2
18,1
18,1
18,1
18,2
18,1
18,3
18,4
18,3
18,1
18,2
18,1
18,1
18,2
18,4
18,2
18,3
18,1
18,3
18,3
18,2
18,3
18,1
18,1
18,3
18,3
18,1
18,2
18,2
18,2
18,2
18,2
18,2
18,1
18,1
18,3
18,1
18,3
18,1
18,3
18,1
18,1
18,3
18,2
18,1
18,1
