Record_Number,RecordWritten,DNIS,Cluster_ID,Cluster_Type,RepeatCall,Repeat_UID,Source
3862197,10/24/2018 10:38:38 AM,2236,2,Identification,TRUE,7a2b848e-d2b6-4a78-b1aa-284f6efde017,OM2
3862216,10/24/2018 10:41:12 AM,2236,2,Identification,TRUE,1d7a2519-659a-458b-91f5-196af9f44ffc,OM1
3862223,10/24/2018 10:41:55 AM,8767,1,Identification,TRUE,59a24848-91cb-41a8-bc32-c050a0744b40,CM2
3862229,10/24/2018 10:42:12 AM,2796,4,Identification,TRUE,d238b22d-09f1-4ade-a81c-7467d44c3b55,OM2
3862238,10/24/2018 10:43:22 AM,2236,2,Identification,TRUE,960ac964-b4c5-4a51-9fd6-8605fb2de516,OM4
3862246,10/24/2018 10:44:37 AM,2236,2,Identification,TRUE,11b9b353-09cc-4601-ae27-8aae6386f5be,CM3
3862248,10/24/2018 10:44:51 AM,2236,2,Identification,TRUE,a5d91441-7d03-4b0d-b136-2c9f3138fe28,CM4
3862262,10/24/2018 10:46:07 AM,8767,1,Identification,TRUE,21db3d99-4a8b-4687-a6e5-22a906df7e8f,OM1
3862274,10/24/2018 10:47:39 AM,1750,3,Identification,TRUE,c301a6ef-9cbd-4c71-b2c9-13e57c0e463d,OM3
3862288,10/24/2018 10:49:20 AM,2236,2,Identification,TRUE,c7a7d825-ce9c-4d98-9186-e71c73e29b5c,OM3
3862301,10/24/2018 10:50:51 AM,2236,2,Identification,TRUE,4cf80a42-9b36-482f-884e-8dac36785031,CM1
3862306,10/24/2018 10:51:30 AM,1750,3,Identification,TRUE,81318e7d-2c0d-4c64-b37e-9309ef19f25b,CM2
3862322,10/24/2018 10:53:19 AM,2796,4,Identification,TRUE,1cc2c4bb-9e78-4537-9c1f-2e87d1c0239d,OM2
3862332,10/24/2018 10:54:18 AM,2792,7,Identification,TRUE,607b5dc9-2d0b-4cef-8d0d-5da09db9979c,CM3
3862349,10/24/2018 10:55:31 AM,2236,2,Identification,TRUE,7dde7b7d-9be8-4303-ab8e-0e83fab54d0e,OM4
3862350,10/24/2018 10:55:32 AM,2236,2,Identification,TRUE,ec25f42a-2609-4070-9d94-e5603886303a,CM2
3862354,10/24/2018 10:56:08 AM,2236,2,Identification,TRUE,810064b3-939c-4102-b4e0-2e96436d7d1a,OM2
3862365,10/24/2018 10:57:17 AM,8767,1,Identification,TRUE,a19b1a6a-7225-4e91-9d61-fac06efc05fc,CM2
3862397,10/24/2018 11:01:31 AM,2236,2,Identification,TRUE,a157f97a-4728-4d44-bfb9-14856b7a4b2d,OM1
3862398,10/24/2018 11:01:40 AM,2236,2,Identification,TRUE,4aeff396-9645-4eb0-904f-70de66a2059f,CM1
3862425,10/24/2018 11:05:09 AM,2236,2,Identification,TRUE,38f98e0f-d937-48c6-9d9d-190778b29717,CM4
3862441,10/24/2018 11:07:45 AM,1750,3,Identification,TRUE,636a7449-f5a2-4dbb-8a73-71ad3a58f58e,OM1
3862454,10/24/2018 11:10:09 AM,2236,2,Identification,TRUE,34c563c9-f038-42d3-8a65-da08a3fa49ca,OM3
3862456,10/24/2018 11:10:16 AM,1750,3,Identification,TRUE,5fa266c2-d8c3-4630-a4e1-29a160eb9861,CM1
3862459,10/24/2018 11:10:37 AM,1750,3,Identification,TRUE,8c80d9ec-3ce5-4286-9a36-af09a293ad77,OM4
3862463,10/24/2018 11:11:00 AM,1750,3,Identification,TRUE,ee726db3-544a-4f00-a04e-95413e066dc9,OM1
3862472,10/24/2018 11:12:39 AM,8767,1,Identification,TRUE,2a844334-1fa3-4e64-9e16-286c0a02e942,OM4
3862475,10/24/2018 11:12:53 AM,2236,2,Identification,TRUE,06cef0b7-5502-4feb-8e05-1b1f2ad57357,CM2
3862479,10/24/2018 11:13:31 AM,2236,2,Identification,TRUE,fd2b6269-8442-4e05-b5da-11b16cc49789,OM3
3862480,10/24/2018 11:13:43 AM,2236,2,Identification,TRUE,87788168-1e44-43a5-83b1-0065a47d60fc,OM3
3862496,10/24/2018 11:15:58 AM,2236,2,Identification,TRUE,8ac2ca3e-b670-4cd4-a647-ad64ac402aa0,OM1
3862502,10/24/2018 11:17:36 AM,2236,2,Identification,TRUE,33e7c3b5-3f62-4e20-95a8-d00e7dd1a93a,CM4
3862506,10/24/2018 11:18:10 AM,1750,3,Identification,TRUE,77712def-36d4-4379-a963-12bcc5ed4410,CM2
